Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
West Gear,1128299,8/17/21,South,Louisiana,New Orleans,Men's Athletic Footwear,$57.00 ,256,"$14,592 ","$6,420 ",44%,Outlet
West Gear,1128299,8/17/21,South,Louisiana,New Orleans,Women's Street Footwear,$50.00 ,217,"$10,850 ","$4,557 ",42%,Outlet
West Gear,1128299,8/17/21,South,Louisiana,New Orleans,Women's Athletic Footwear,$55.00 ,143,"$7,865 ","$3,697 ",47%,Outlet
West Gear,1128299,8/17/21,South,Louisiana,New Orleans,Men's Apparel,$47.00 ,152,"$7,144 ","$3,501 ",49%,Outlet
West Gear,1128299,8/17/21,South,Louisiana,New Orleans,Women's Apparel,$46.00 ,102,"$4,692 ","$1,783 ",38%,Outlet
Walmart,1185732,8/17/21,South,Mississippi,Jackson,Men's Street Footwear,$41.00 ,256,"$10,496 ","$4,723 ",45%,Outlet
Walmart,1185732,8/17/21,South,Mississippi,Jackson,Men's Athletic Footwear,$44.00 ,198,"$8,712 ","$3,572 ",41%,Outlet
Walmart,1185732,8/17/21,South,Mississippi,Jackson,Women's Street Footwear,$37.00 ,179,"$6,623 ","$2,914 ",44%,Outlet
Walmart,1185732,8/17/21,South,Mississippi,Jackson,Women's Athletic Footwear,$32.00 ,147,"$4,704 ","$1,976 ",42%,Outlet
Walmart,1185732,8/17/21,South,Mississippi,Jackson,Men's Apparel,$35.00 ,158,"$5,530 ","$2,323 ",42%,Outlet
Walmart,1185732,8/17/21,South,Mississippi,Jackson,Women's Apparel,$42.00 ,206,"$8,652 ","$4,759 ",55%,Outlet
Sports Direct,1197831,8/18/21,South,Texas,Dallas,Men's Athletic Footwear,$35.00 ,650,"$227,500 ","$68,250 ",30%,Outlet
Sports Direct,1197831,8/18/21,South,Alabama,Birmingham,Women's Apparel,$35.00 ,400,"$140,000 ","$84,000 ",60%,Outlet
Foot Locker,1185732,8/18/21,Midwest,Missouri,St. Louis,Men's Street Footwear,$40.00 ,700,"$280,000 ","$112,000 ",40%,In-store
Foot Locker,1185732,8/18/21,Midwest,Missouri,St. Louis,Men's Athletic Footwear,$40.00 ,475,"$190,000 ","$66,500 ",35%,In-store
Foot Locker,1185732,8/18/21,Midwest,Missouri,St. Louis,Women's Street Footwear,$35.00 ,400,"$140,000 ","$49,000 ",35%,In-store
Foot Locker,1185732,8/18/21,Midwest,Missouri,St. Louis,Women's Athletic Footwear,$25.00 ,325,"$81,250 ","$32,500 ",40%,In-store
Foot Locker,1185732,8/18/21,Midwest,Missouri,St. Louis,Men's Apparel,$35.00 ,300,"$105,000 ","$36,750 ",35%,In-store
Foot Locker,1185732,8/18/21,Midwest,Missouri,St. Louis,Women's Apparel,$40.00 ,475,"$190,000 ","$95,000 ",50%,In-store
Amazon,1185732,8/18/21,Northeast,New Hampshire,Manchester,Men's Street Footwear,$65.00 ,675,"$438,750 ","$175,500 ",40%,Outlet
Amazon,1185732,8/18/21,Northeast,New Hampshire,Manchester,Men's Athletic Footwear,$60.00 ,450,"$270,000 ","$108,000 ",40%,Outlet
Amazon,1185732,8/18/21,Northeast,New Hampshire,Manchester,Women's Street Footwear,$55.00 ,375,"$206,250 ","$61,875 ",30%,Outlet
Amazon,1185732,8/18/21,Northeast,New Hampshire,Manchester,Women's Athletic Footwear,$55.00 ,275,"$151,250 ","$45,375 ",30%,Outlet
Amazon,1185732,8/18/21,Northeast,New Hampshire,Manchester,Men's Apparel,$65.00 ,250,"$162,500 ","$48,750 ",30%,Outlet
Amazon,1185732,8/18/21,Northeast,New Hampshire,Manchester,Women's Apparel,$70.00 ,425,"$297,500 ","$104,125 ",35%,Outlet
Sports Direct,1197831,8/18/21,South,Texas,Dallas,Men's Athletic Footwear,$32.00 ,163,"$5,216 ","$2,086 ",40%,Online
Sports Direct,1197831,8/18/21,South,Alabama,Birmingham,Women's Apparel,$34.00 ,104,"$3,536 ","$2,652 ",75%,Online
Foot Locker,1185732,8/18/21,Midwest,Missouri,St. Louis,Men's Street Footwear,$38.00 ,203,"$7,714 ","$3,857 ",50%,Online
Foot Locker,1185732,8/18/21,Midwest,Missouri,St. Louis,Men's Athletic Footwear,$38.00 ,143,"$5,434 ","$2,500 ",46%,Online
Foot Locker,1185732,8/18/21,Midwest,Missouri,St. Louis,Women's Street Footwear,$32.00 ,120,"$3,840 ","$1,766 ",46%,Online
Foot Locker,1185732,8/18/21,Midwest,Missouri,St. Louis,Women's Athletic Footwear,$24.00 ,91,"$2,184 ","$1,201 ",55%,Online
Foot Locker,1185732,8/18/21,Midwest,Missouri,St. Louis,Men's Apparel,$34.00 ,81,"$2,754 ","$1,294 ",47%,Online
Foot Locker,1185732,8/18/21,Midwest,Missouri,St. Louis,Women's Apparel,$36.00 ,128,"$4,608 ","$2,995 ",65%,Online
Amazon,1185732,8/18/21,Northeast,New Hampshire,Manchester,Men's Street Footwear,$60.00 ,196,"$11,760 ","$5,998 ",51%,Online
Amazon,1185732,8/18/21,Northeast,New Hampshire,Manchester,Men's Athletic Footwear,$58.00 ,135,"$7,830 ","$4,228 ",54%,Online
Amazon,1185732,8/18/21,Northeast,New Hampshire,Manchester,Women's Street Footwear,$52.00 ,105,"$5,460 ","$2,457 ",45%,Online
Amazon,1185732,8/18/21,Northeast,New Hampshire,Manchester,Women's Athletic Footwear,$51.00 ,72,"$3,672 ","$1,542 ",42%,Online
Amazon,1185732,8/18/21,Northeast,New Hampshire,Manchester,Men's Apparel,$59.00 ,73,"$4,307 ","$1,938 ",45%,Online
Amazon,1185732,8/18/21,Northeast,New Hampshire,Manchester,Women's Apparel,$64.00 ,106,"$6,784 ","$3,188 ",47%,Online
Sports Direct,1197831,8/18/21,South,Texas,Dallas,Men's Athletic Footwear,$23.00 ,215,"$4,945 ","$1,780 ",36%,Outlet
Sports Direct,1197831,8/18/21,South,Alabama,Birmingham,Women's Apparel,$26.00 ,120,"$3,120 ","$2,059 ",66%,Outlet
Amazon,1185732,8/18/21,Northeast,New Hampshire,Manchester,Men's Street Footwear,$48.00 ,203,"$9,744 ","$4,482 ",46%,Outlet
Amazon,1185732,8/18/21,Northeast,New Hampshire,Manchester,Men's Athletic Footwear,$39.00 ,135,"$5,265 ","$2,475 ",47%,Outlet
Amazon,1185732,8/18/21,Northeast,New Hampshire,Manchester,Women's Street Footwear,$39.00 ,113,"$4,407 ","$1,542 ",35%,Outlet
Amazon,1185732,8/18/21,Northeast,New Hampshire,Manchester,Women's Athletic Footwear,$42.00 ,88,"$3,696 ","$1,183 ",32%,Outlet
Amazon,1185732,8/18/21,Northeast,New Hampshire,Manchester,Men's Apparel,$45.00 ,80,"$3,600 ","$1,188 ",33%,Outlet
Amazon,1185732,8/18/21,Northeast,New Hampshire,Manchester,Women's Apparel,$46.00 ,145,"$6,670 ","$2,468 ",37%,Outlet
Sports Direct,1197831,8/19/21,South,Texas,Dallas,Women's Street Footwear,$35.00 ,475,"$166,250 ","$49,875 ",30%,Outlet
Sports Direct,1197831,8/19/21,South,Alabama,Birmingham,Men's Street Footwear,$20.00 ,650,"$130,000 ","$58,500 ",45%,Outlet
Sports Direct,1197831,8/19/21,South,Texas,Dallas,Women's Street Footwear,$34.00 ,119,"$4,046 ","$1,740 ",43%,Online
Sports Direct,1197831,8/19/21,South,Alabama,Birmingham,Men's Street Footwear,$19.00 ,195,"$3,705 ","$2,149 ",58%,Online
Sports Direct,1197831,8/19/21,South,Texas,Dallas,Women's Street Footwear,$27.00 ,143,"$3,861 ","$1,351 ",35%,Outlet
Sports Direct,1197831,8/19/21,South,Alabama,Birmingham,Men's Street Footwear,$15.00 ,215,"$3,225 ","$1,677 ",52%,Outlet
Sports Direct,1197831,8/20/21,South,Texas,Dallas,Women's Athletic Footwear,$35.00 ,425,"$148,750 ","$59,500 ",40%,Outlet
Sports Direct,1197831,8/20/21,South,Alabama,Birmingham,Men's Athletic Footwear,$20.00 ,650,"$130,000 ","$58,500 ",45%,Outlet
Walmart,1197831,8/20/21,South,Arkansas,Little Rock,Men's Street Footwear,$60.00 ,750,"$450,000 ","$180,000 ",40%,Online
Walmart,1197831,8/20/21,South,Arkansas,Little Rock,Men's Athletic Footwear,$55.00 ,525,"$288,750 ","$101,063 ",35%,Online
Walmart,1197831,8/20/21,South,Arkansas,Little Rock,Women's Street Footwear,$50.00 ,450,"$225,000 ","$90,000 ",40%,Online
Walmart,1197831,8/20/21,South,Arkansas,Little Rock,Women's Athletic Footwear,$40.00 ,400,"$160,000 ","$64,000 ",40%,Online
Walmart,1197831,8/20/21,South,Arkansas,Little Rock,Men's Apparel,$50.00 ,375,"$187,500 ","$65,625 ",35%,Online
Walmart,1197831,8/20/21,South,Arkansas,Little Rock,Women's Apparel,$55.00 ,550,"$302,500 ","$121,000 ",40%,Online
West Gear,1197831,8/20/21,South,Oklahoma,Oklahoma City,Men's Street Footwear,$60.00 ,675,"$405,000 ","$162,000 ",40%,Online
West Gear,1197831,8/20/21,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,$55.00 ,450,"$247,500 ","$86,625 ",35%,Online
West Gear,1197831,8/20/21,South,Oklahoma,Oklahoma City,Women's Street Footwear,$50.00 ,375,"$187,500 ","$75,000 ",40%,Online
West Gear,1197831,8/20/21,South,Oklahoma,Oklahoma City,Women's Athletic Footwear,$40.00 ,325,"$130,000 ","$52,000 ",40%,Online
West Gear,1197831,8/20/21,South,Oklahoma,Oklahoma City,Men's Apparel,$50.00 ,300,"$150,000 ","$52,500 ",35%,Online
West Gear,1197831,8/20/21,South,Oklahoma,Oklahoma City,Women's Apparel,$55.00 ,475,"$261,250 ","$104,500 ",40%,Online
Sports Direct,1197831,8/20/21,South,Texas,Dallas,Women's Athletic Footwear,$32.00 ,128,"$4,096 ","$2,171 ",53%,Online
Sports Direct,1197831,8/20/21,South,Alabama,Birmingham,Men's Athletic Footwear,$19.00 ,189,"$3,591 ","$2,083 ",58%,Online
Walmart,1197831,8/20/21,South,Arkansas,Little Rock,Men's Street Footwear,$55.00 ,210,"$11,550 ","$6,237 ",54%,Online
Walmart,1197831,8/20/21,South,Arkansas,Little Rock,Men's Athletic Footwear,$50.00 ,152,"$7,600 ","$3,648 ",48%,Online
Walmart,1197831,8/20/21,South,Arkansas,Little Rock,Women's Street Footwear,$47.00 ,126,"$5,922 ","$3,079 ",52%,Online
Walmart,1197831,8/20/21,South,Arkansas,Little Rock,Women's Athletic Footwear,$39.00 ,104,"$4,056 ","$2,028 ",50%,Online
Walmart,1197831,8/20/21,South,Arkansas,Little Rock,Men's Apparel,$48.00 ,113,"$5,424 ","$2,658 ",49%,Online
Walmart,1197831,8/20/21,South,Arkansas,Little Rock,Women's Apparel,$50.00 ,143,"$7,150 ","$3,718 ",52%,Online
West Gear,1197831,8/20/21,South,Oklahoma,Oklahoma City,Men's Street Footwear,$56.00 ,189,"$10,584 ","$5,398 ",51%,Online
West Gear,1197831,8/20/21,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,$51.00 ,113,"$5,763 ","$2,709 ",47%,Online
West Gear,1197831,8/20/21,South,Oklahoma,Oklahoma City,Women's Street Footwear,$47.00 ,113,"$5,311 ","$2,815 ",53%,Online
West Gear,1197831,8/20/21,South,Oklahoma,Oklahoma City,Women's Athletic Footwear,$37.00 ,88,"$3,256 ","$1,693 ",52%,Online
West Gear,1197831,8/20/21,South,Oklahoma,Oklahoma City,Men's Apparel,$47.00 ,81,"$3,807 ","$1,713 ",45%,Online
West Gear,1197831,8/20/21,South,Oklahoma,Oklahoma City,Women's Apparel,$50.00 ,124,"$6,200 ","$3,224 ",52%,Online
Sports Direct,1197831,8/20/21,South,Texas,Dallas,Women's Athletic Footwear,$28.00 ,136,"$3,808 ","$1,714 ",45%,Outlet
Sports Direct,1197831,8/20/21,South,Alabama,Birmingham,Men's Athletic Footwear,$16.00 ,202,"$3,232 ","$1,519 ",47%,Outlet
Walmart,1197831,8/20/21,South,Arkansas,Little Rock,Men's Street Footwear,$43.00 ,233,"$10,019 ","$4,509 ",45%,Outlet
Walmart,1197831,8/20/21,South,Arkansas,Little Rock,Men's Athletic Footwear,$42.00 ,163,"$6,846 ","$2,670 ",39%,Outlet
Walmart,1197831,8/20/21,South,Arkansas,Little Rock,Women's Street Footwear,$40.00 ,135,"$5,400 ","$2,376 ",44%,Outlet
Walmart,1197831,8/20/21,South,Arkansas,Little Rock,Women's Athletic Footwear,$29.00 ,132,"$3,828 ","$1,723 ",45%,Outlet
Walmart,1197831,8/20/21,South,Arkansas,Little Rock,Men's Apparel,$40.00 ,113,"$4,520 ","$1,672 ",37%,Outlet
Walmart,1197831,8/20/21,South,Arkansas,Little Rock,Women's Apparel,$40.00 ,193,"$7,720 ","$3,628 ",47%,Outlet
West Gear,1197831,8/20/21,South,Oklahoma,Oklahoma City,Men's Street Footwear,$41.00 ,230,"$9,430 ","$3,961 ",42%,Outlet
West Gear,1197831,8/20/21,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,$37.00 ,140,"$5,180 ","$2,176 ",42%,Outlet
West Gear,1197831,8/20/21,South,Oklahoma,Oklahoma City,Women's Street Footwear,$38.00 ,113,"$4,294 ","$2,018 ",47%,Outlet
West Gear,1197831,8/20/21,South,Oklahoma,Oklahoma City,Women's Athletic Footwear,$32.00 ,111,"$3,552 ","$1,492 ",42%,Outlet
West Gear,1197831,8/20/21,South,Oklahoma,Oklahoma City,Men's Apparel,$40.00 ,105,"$4,200 ","$1,554 ",37%,Outlet
West Gear,1197831,8/20/21,South,Oklahoma,Oklahoma City,Women's Apparel,$40.00 ,166,"$6,640 ","$3,121 ",47%,Outlet
Sports Direct,1197831,8/21/21,South,Texas,Dallas,Men's Apparel,$40.00 ,300,"$120,000 ","$30,000 ",25%,Outlet
Sports Direct,1197831,8/21/21,South,Alabama,Birmingham,Women's Street Footwear,$15.00 ,475,"$71,250 ","$32,063 ",45%,Outlet
Amazon,1185732,8/21/21,West,Alaska,Anchorage,Men's Street Footwear,$65.00 ,650,"$422,500 ","$147,875 ",35%,Outlet
Amazon,1185732,8/21/21,West,Alaska,Anchorage,Men's Athletic Footwear,$60.00 ,425,"$255,000 ","$89,250 ",35%,Outlet
Amazon,1185732,8/21/21,West,Alaska,Anchorage,Women's Street Footwear,$55.00 ,350,"$192,500 ","$48,125 ",25%,Outlet
Amazon,1185732,8/21/21,West,Alaska,Anchorage,Women's Athletic Footwear,$55.00 ,250,"$137,500 ","$34,375 ",25%,Outlet
Amazon,1185732,8/21/21,West,Alaska,Anchorage,Men's Apparel,$65.00 ,225,"$146,250 ","$36,563 ",25%,Outlet
Amazon,1185732,8/21/21,West,Alaska,Anchorage,Women's Apparel,$70.00 ,400,"$280,000 ","$84,000 ",30%,Outlet
Sports Direct,1185732,8/21/21,Northeast,Maryland,Baltimore,Men's Street Footwear,$50.00 ,500,"$250,000 ","$100,000 ",40%,In-store
Sports Direct,1185732,8/21/21,Northeast,Maryland,Baltimore,Men's Athletic Footwear,$45.00 ,275,"$123,750 ","$43,313 ",35%,In-store
Sports Direct,1185732,8/21/21,Northeast,Maryland,Baltimore,Women's Street Footwear,$40.00 ,200,"$80,000 ","$28,000 ",35%,In-store
Sports Direct,1185732,8/21/21,Northeast,Maryland,Baltimore,Women's Athletic Footwear,$40.00 ,150,"$60,000 ","$21,000 ",35%,In-store
Sports Direct,1185732,8/21/21,Northeast,Maryland,Baltimore,Men's Apparel,$50.00 ,125,"$62,500 ","$18,750 ",30%,In-store
Sports Direct,1185732,8/21/21,Northeast,Maryland,Baltimore,Women's Apparel,$55.00 ,300,"$165,000 ","$49,500 ",30%,In-store
Sports Direct,1197831,8/21/21,South,Texas,Dallas,Men's Apparel,$38.00 ,75,"$2,850 ",$998 ,35%,Online
Sports Direct,1197831,8/21/21,South,Alabama,Birmingham,Women's Street Footwear,$14.00 ,119,"$1,666 ",$983 ,59%,Online
Amazon,1185732,8/21/21,West,Alaska,Anchorage,Men's Street Footwear,$59.00 ,163,"$9,617 ","$4,328 ",45%,Online
Amazon,1185732,8/21/21,West,Alaska,Anchorage,Men's Athletic Footwear,$56.00 ,106,"$5,936 ","$2,671 ",45%,Online
Amazon,1185732,8/21/21,West,Alaska,Anchorage,Women's Street Footwear,$54.00 ,102,"$5,508 ","$1,983 ",36%,Online
Amazon,1185732,8/21/21,West,Alaska,Anchorage,Women's Athletic Footwear,$53.00 ,68,"$3,604 ","$1,442 ",40%,Online
Amazon,1185732,8/21/21,West,Alaska,Anchorage,Men's Apparel,$62.00 ,65,"$4,030 ","$1,531 ",38%,Online
Amazon,1185732,8/21/21,West,Alaska,Anchorage,Women's Apparel,$67.00 ,104,"$6,968 ","$2,927 ",42%,Online
Sports Direct,1185732,8/21/21,Northeast,Maryland,Baltimore,Men's Street Footwear,$48.00 ,135,"$6,480 ","$3,434 ",53%,Online
Sports Direct,1185732,8/21/21,Northeast,Maryland,Baltimore,Men's Athletic Footwear,$41.00 ,83,"$3,403 ","$1,702 ",50%,Online
Sports Direct,1185732,8/21/21,Northeast,Maryland,Baltimore,Women's Street Footwear,$39.00 ,60,"$2,340 ","$1,170 ",50%,Online
Sports Direct,1185732,8/21/21,Northeast,Maryland,Baltimore,Women's Athletic Footwear,$37.00 ,44,"$1,628 ",$749 ,46%,Online
Sports Direct,1185732,8/21/21,Northeast,Maryland,Baltimore,Men's Apparel,$47.00 ,38,"$1,786 ",$804 ,45%,Online
Sports Direct,1185732,8/21/21,Northeast,Maryland,Baltimore,Women's Apparel,$53.00 ,81,"$4,293 ","$1,846 ",43%,Online
Sports Direct,1197831,8/21/21,South,Texas,Dallas,Men's Apparel,$26.00 ,93,"$2,418 ",$774 ,32%,Outlet
Sports Direct,1197831,8/21/21,South,Alabama,Birmingham,Women's Street Footwear,$11.00 ,152,"$1,672 ",$786 ,47%,Outlet
Sports Direct,1197831,8/22/21,South,Texas,Dallas,Women's Apparel,$35.00 ,500,"$175,000 ","$78,750 ",45%,Outlet
Sports Direct,1197831,8/22/21,South,Alabama,Birmingham,Women's Athletic Footwear,$20.00 ,375,"$75,000 ","$41,250 ",55%,Outlet
Amazon,1185732,8/22/21,Southeast,Kentucky,Louisville,Men's Street Footwear,$50.00 ,575,"$287,500 ","$115,000 ",40%,Online
Amazon,1185732,8/22/21,Southeast,Kentucky,Louisville,Men's Athletic Footwear,$45.00 ,350,"$157,500 ","$55,125 ",35%,Online
Amazon,1185732,8/22/21,Southeast,Kentucky,Louisville,Women's Street Footwear,$40.00 ,275,"$110,000 ","$44,000 ",40%,Online
Amazon,1185732,8/22/21,Southeast,Kentucky,Louisville,Women's Athletic Footwear,$40.00 ,250,"$100,000 ","$40,000 ",40%,Online
Amazon,1185732,8/22/21,Southeast,Kentucky,Louisville,Men's Apparel,$50.00 ,225,"$112,500 ","$39,375 ",35%,Online
Amazon,1185732,8/22/21,Southeast,Kentucky,Louisville,Women's Apparel,$55.00 ,400,"$220,000 ","$88,000 ",40%,Online
Sports Direct,1197831,8/22/21,South,Texas,Dallas,Women's Apparel,$32.00 ,140,"$4,480 ","$2,509 ",56%,Online
Sports Direct,1197831,8/22/21,South,Alabama,Birmingham,Women's Athletic Footwear,$18.00 ,113,"$2,034 ","$1,342 ",66%,Online
Amazon,1185732,8/22/21,Southeast,Kentucky,Louisville,Men's Street Footwear,$46.00 ,167,"$7,682 ","$4,148 ",54%,Online
Amazon,1185732,8/22/21,Southeast,Kentucky,Louisville,Men's Athletic Footwear,$41.00 ,91,"$3,731 ","$1,754 ",47%,Online
Amazon,1185732,8/22/21,Southeast,Kentucky,Louisville,Women's Street Footwear,$36.00 ,80,"$2,880 ","$1,555 ",54%,Online
Amazon,1185732,8/22/21,Southeast,Kentucky,Louisville,Women's Athletic Footwear,$38.00 ,75,"$2,850 ","$1,425 ",50%,Online
Amazon,1185732,8/22/21,Southeast,Kentucky,Louisville,Men's Apparel,$49.00 ,65,"$3,185 ","$1,561 ",49%,Online
Amazon,1185732,8/22/21,Southeast,Kentucky,Louisville,Women's Apparel,$51.00 ,120,"$6,120 ","$3,305 ",54%,Online
Sports Direct,1197831,8/22/21,South,Texas,Dallas,Women's Apparel,$26.00 ,155,"$4,030 ","$2,055 ",51%,Outlet
Sports Direct,1197831,8/22/21,South,Alabama,Birmingham,Women's Athletic Footwear,$15.00 ,116,"$1,740 ","$1,044 ",60%,Outlet
Sports Direct,1197831,8/23/21,South,Texas,Dallas,Men's Street Footwear,$30.00 ,675,"$202,500 ","$70,875 ",35%,Outlet
Sports Direct,1197831,8/23/21,South,Alabama,Birmingham,Men's Apparel,$25.00 ,275,"$68,750 ","$27,500 ",40%,Outlet
Foot Locker,1128299,8/23/21,West,Arizona,Phoenix,Men's Street Footwear,$55.00 ,625,"$343,750 ","$120,313 ",35%,Online
Foot Locker,1128299,8/23/21,West,Arizona,Phoenix,Men's Athletic Footwear,$60.00 ,575,"$345,000 ","$138,000 ",40%,Online
Foot Locker,1128299,8/23/21,West,Arizona,Phoenix,Women's Street Footwear,$55.00 ,450,"$247,500 ","$86,625 ",35%,Online
Foot Locker,1128299,8/23/21,West,Arizona,Phoenix,Women's Athletic Footwear,$55.00 ,400,"$220,000 ","$77,000 ",35%,Online
Foot Locker,1128299,8/23/21,West,Arizona,Phoenix,Men's Apparel,$65.00 ,400,"$260,000 ","$78,000 ",30%,Online
Foot Locker,1128299,8/23/21,West,Arizona,Phoenix,Women's Apparel,$70.00 ,375,"$262,500 ","$65,625 ",25%,Online
Sports Direct,1197831,8/23/21,South,Texas,Dallas,Men's Street Footwear,$29.00 ,182,"$5,278 ","$2,639 ",50%,Online
Sports Direct,1197831,8/23/21,South,Alabama,Birmingham,Men's Apparel,$23.00 ,74,"$1,702 ",$902 ,53%,Online
Foot Locker,1128299,8/23/21,West,Arizona,Phoenix,Men's Street Footwear,$50.00 ,163,"$8,150 ","$4,075 ",50%,Online
Foot Locker,1128299,8/23/21,West,Arizona,Phoenix,Men's Athletic Footwear,$57.00 ,161,"$9,177 ","$4,589 ",50%,Online
Foot Locker,1128299,8/23/21,West,Arizona,Phoenix,Women's Street Footwear,$54.00 ,113,"$6,102 ","$2,990 ",49%,Online
Foot Locker,1128299,8/23/21,West,Arizona,Phoenix,Women's Athletic Footwear,$52.00 ,112,"$5,824 ","$2,854 ",49%,Online
Foot Locker,1128299,8/23/21,West,Arizona,Phoenix,Men's Apparel,$59.00 ,116,"$6,844 ","$2,806 ",41%,Online
Foot Locker,1128299,8/23/21,West,Arizona,Phoenix,Women's Apparel,$65.00 ,94,"$6,110 ","$2,444 ",40%,Online
Sports Direct,1197831,8/23/21,South,Texas,Dallas,Men's Street Footwear,$21.00 ,203,"$4,263 ","$1,663 ",39%,Outlet
Sports Direct,1197831,8/23/21,South,Alabama,Birmingham,Men's Apparel,$19.00 ,88,"$1,672 ",$702 ,42%,Outlet
Foot Locker,1128299,8/23/21,West,Arizona,Phoenix,Men's Street Footwear,$41.00 ,194,"$7,954 ","$3,182 ",40%,Outlet
Foot Locker,1128299,8/23/21,West,Arizona,Phoenix,Men's Athletic Footwear,$46.00 ,190,"$8,740 ","$3,671 ",42%,Outlet
Foot Locker,1128299,8/23/21,West,Arizona,Phoenix,Women's Street Footwear,$37.00 ,153,"$5,661 ","$2,321 ",41%,Outlet
Foot Locker,1128299,8/23/21,West,Arizona,Phoenix,Women's Athletic Footwear,$43.00 ,120,"$5,160 ","$2,167 ",42%,Outlet
Foot Locker,1128299,8/23/21,West,Arizona,Phoenix,Men's Apparel,$45.00 ,136,"$6,120 ","$2,264 ",37%,Outlet
Foot Locker,1128299,8/23/21,West,Arizona,Phoenix,Women's Apparel,$48.00 ,131,"$6,288 ","$1,761 ",28%,Outlet
Sports Direct,1197831,8/24/21,South,Texas,Dallas,Men's Athletic Footwear,$40.00 ,675,"$270,000 ","$94,500 ",35%,Outlet
Sports Direct,1197831,8/24/21,South,Alabama,Birmingham,Women's Apparel,$20.00 ,550,"$110,000 ","$66,000 ",60%,Outlet
Foot Locker,1128299,8/24/21,Southeast,Virginia,Richmond,Men's Street Footwear,$90.00 ,800,"$720,000 ","$252,000 ",35%,In-store
Foot Locker,1128299,8/24/21,Southeast,Virginia,Richmond,Men's Athletic Footwear,$80.00 ,775,"$620,000 ","$217,000 ",35%,In-store
Foot Locker,1128299,8/24/21,Southeast,Virginia,Richmond,Women's Street Footwear,$70.00 ,650,"$455,000 ","$159,250 ",35%,In-store
Foot Locker,1128299,8/24/21,Southeast,Virginia,Richmond,Women's Athletic Footwear,$70.00 ,425,"$297,500 ","$104,125 ",35%,In-store
Foot Locker,1128299,8/24/21,Southeast,Virginia,Richmond,Men's Apparel,$70.00 ,425,"$297,500 ","$119,000 ",40%,In-store
Foot Locker,1128299,8/24/21,Southeast,Virginia,Richmond,Women's Apparel,$75.00 ,250,"$187,500 ","$56,250 ",30%,In-store
West Gear,1128299,8/24/21,West,Oregon,Portland,Men's Street Footwear,$90.00 ,800,"$720,000 ","$252,000 ",35%,In-store
West Gear,1128299,8/24/21,West,Oregon,Portland,Men's Athletic Footwear,$80.00 ,775,"$620,000 ","$217,000 ",35%,In-store
West Gear,1128299,8/24/21,West,Oregon,Portland,Women's Street Footwear,$70.00 ,650,"$455,000 ","$159,250 ",35%,In-store
West Gear,1128299,8/24/21,West,Oregon,Portland,Women's Athletic Footwear,$70.00 ,425,"$297,500 ","$104,125 ",35%,In-store
West Gear,1128299,8/24/21,West,Oregon,Portland,Men's Apparel,$70.00 ,425,"$297,500 ","$119,000 ",40%,In-store
West Gear,1128299,8/24/21,West,Oregon,Portland,Women's Apparel,$75.00 ,250,"$187,500 ","$56,250 ",30%,In-store
Sports Direct,1197831,8/24/21,South,Texas,Dallas,Men's Athletic Footwear,$39.00 ,169,"$6,591 ","$3,296 ",50%,Online
Sports Direct,1197831,8/24/21,South,Alabama,Birmingham,Women's Apparel,$20.00 ,149,"$2,980 ","$2,235 ",75%,Online
Foot Locker,1128299,8/24/21,Southeast,Virginia,Richmond,Men's Street Footwear,$83.00 ,240,"$19,920 ","$8,964 ",45%,Online
Foot Locker,1128299,8/24/21,Southeast,Virginia,Richmond,Men's Athletic Footwear,$76.00 ,202,"$15,352 ","$7,369 ",48%,Online
Foot Locker,1128299,8/24/21,Southeast,Virginia,Richmond,Women's Street Footwear,$69.00 ,189,"$13,041 ","$6,260 ",48%,Online
Foot Locker,1128299,8/24/21,Southeast,Virginia,Richmond,Women's Athletic Footwear,$66.00 ,111,"$7,326 ","$3,590 ",49%,Online
Foot Locker,1128299,8/24/21,Southeast,Virginia,Richmond,Men's Apparel,$64.00 ,106,"$6,784 ","$3,460 ",51%,Online
Foot Locker,1128299,8/24/21,Southeast,Virginia,Richmond,Women's Apparel,$73.00 ,75,"$5,475 ","$2,300 ",42%,Online
West Gear,1128299,8/24/21,West,Oregon,Portland,Men's Street Footwear,$81.00 ,200,"$16,200 ","$7,776 ",48%,Online
West Gear,1128299,8/24/21,West,Oregon,Portland,Men's Athletic Footwear,$76.00 ,233,"$17,708 ","$8,677 ",49%,Online
West Gear,1128299,8/24/21,West,Oregon,Portland,Women's Street Footwear,$68.00 ,195,"$13,260 ","$6,497 ",49%,Online
West Gear,1128299,8/24/21,West,Oregon,Portland,Women's Athletic Footwear,$68.00 ,119,"$8,092 ","$3,722 ",46%,Online
West Gear,1128299,8/24/21,West,Oregon,Portland,Men's Apparel,$65.00 ,128,"$8,320 ","$4,410 ",53%,Online
West Gear,1128299,8/24/21,West,Oregon,Portland,Women's Apparel,$69.00 ,73,"$5,037 ","$2,216 ",44%,Online
Sports Direct,1197831,8/24/21,South,Texas,Dallas,Men's Athletic Footwear,$31.00 ,236,"$7,316 ","$2,926 ",40%,Outlet
